Epoch,,Training,,Testing
1,0.802912541,70.1711435,3.464628147,77.83825537
2,0.47971203,80.81545296,2.404752392,82.72256952
3,0.39958439,83.59547621,2.046399679,84.67701372
4,0.359896938,84.93121155,1.876918503,85.99734138
5,0.333736505,86.64187665,1.816997108,86.33146511
6,0.317477535,88.1169596,1.642007154,88.01465833
7,0.304441759,88.33021533,1.510110934,89.44636057
8,0.280057578,89.21018392,1.477298042,89.43917511
9,0.261099166,89.72215165,1.401063038,90.09305166
10,0.252366053,90.30494799,1.351690423,90.18286987
11,0.230416016,90.82384461,1.272765529,91.00740102
12,0.236471495,90.8469409,1.240300293,90.89782281
13,0.237542099,90.9116105,1.175295117,91.68463031
14,0.247134773,91.30578716,1.219595762,90.97147374
15,0.211042775,91.58910163,1.143771868,91.74929942
16,0.231498709,91.66685914,1.077698472,92.14270317
17,0.20442531,92.36436705,1.012271364,92.72292879
18,0.213944692,92.25812412,1.093179909,92.1211468
19,0.206589097,92.25735424,1.028928879,92.70496515
20,0.202442437,92.38746333,0.989196711,92.79837609
21,0.189732128,92.65230078,1.021935273,92.5271251
22,0.200978872,92.74468593,1.001070845,92.79837609
23,0.189159922,92.74930519,0.950003405,93.04627434
24,0.183770259,93.07188335,1.067443857,92.11575771
25,0.175544029,93.05109669,0.909398342,93.23848531
26,0.183777649,93.18890454,0.95253354,93.03908888
27,0.181785042,93.24818502,0.942035874,93.17740892
28,0.178046554,93.29514747,0.858212765,93.78278365
29,0.177570747,93.60848712,0.896091725,93.56542358
30,0.17416301,93.54150788,0.90927265,93.42171445
31,0.16228859,93.5507464,0.872833555,93.5797945
32,0.155317518,93.74937448,0.865060656,93.78637637
33,0.161681228,94.01113241,0.809009942,94.18157649
34,0.161432483,93.89180159,0.873017623,93.74685636
35,0.160102116,94.06964301,0.831528763,94.07918373
36,0.15879052,94.09658868,0.846438267,93.85284185
37,0.166116654,94.13354274,0.808882076,94.08457282
38,0.148140415,94.11737534,0.850539794,93.79715456
39,0.161851699,94.30060589,0.817045245,94.15463103
40,0.143203269,94.47767744,0.762876584,94.51570022
41,0.149224742,94.38837179,0.807099542,94.34324926
42,0.157534907,94.38760191,0.751539324,94.49953295
43,0.141236231,94.42455597,0.765496578,94.36480563
44,0.157497279,94.42609573,0.751918537,94.47977294
45,0.143039022,94.65551886,0.727022451,94.74383847
46,0.148737367,94.67322601,0.706359999,94.92706762
47,0.13824274,94.68246453,0.680650585,95.06538766
48,0.140890078,94.67014651,0.710060128,94.92527125
49,0.148529336,94.83874941,0.70370396,95.00970037
50,0.158429061,94.54234704,0.746425049,94.51929295
